,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
185,tura,51.95,104.74,285.15,100,1,2.0,RU,1592679753
186,tura,25.02,37.27,299.82,63,0,3.82,SA,1592679753
187,tura,55.74,-97.86,282.15,93,90,3.1,CA,1592680004
188,tura,48.52,23.51,290.37,93,97,0.45,UA,1592679754
189,tura,-20.74,116.85,293.48,38,0,5.78,AU,1592679754
190,tura,40.27,-96.75,299.15,65,40,3.1,US,1592679754
191,tura,-31.95,141.43,281.15,70,0,7.7,AU,1592679754
192,tura,37.46,-3.92,305.15,21,0,4.1,ES,1592679754
193,tura,-37.62,-73.65,285.35,84,78,8.88,CL,1592680005
194,tura,-17.73,-49.1,299.21,49,70,2.76,BR,1592679636
195,tura,42.06,59.38,302.15,25,99,5.1,TM,1592679755
196,tura,43.41,-124.22,290.37,82,90,4.6,US,1592679755
197,tura,47.67,-52.73,280.93,100,90,6.2,CA,1592679921
198,tura,27.91,-15.54,297.15,60,20,12.3,ES,1592679755
199,tura,62.08,32.35,284.46,69,0,2.32,RU,1592679755
200,tura,-30.52,151.65,277.59,78,0,0.89,AU,1592679756
201,tura,51.86,33.47,293.51,85,100,3.49,UA,1592679756
202,tura,11.67,92.75,301.43,82,76,5.61,IN,1592680006
203,tura,18.76,-69.04,307.15,46,40,2.1,DO,1592679756
204,tura,34.57,105.89,292.3,79,100,1.32,CN,1592679757
205,tura,57.47,-1.78,290.37,63,49,7.2,GB,1592679757
206,tura,45.62,-61.35,295.37,68,1,3.6,CA,1592679745
207,tura,8.41,20.65,295.37,90,56,2.0,CF,1592679757
208,tura,17.96,-102.2,304.93,47,0,3.5,MX,1592679601
209,tura,29.56,34.95,305.15,31,0,7.2,IL,1592679757
210,tura,20.52,-13.05,316.15,22,6,4.1,MR,1592679757
211,tura,20.89,-156.47,300.15,61,40,9.3,US,1592680008
212,tura,-15.81,35.65,287.16,83,36,1.51,MW,1592679758
213,tura,24.47,54.37,306.15,52,3,3.1,AE,1592679724
214,tura,-21.36,55.77,293.15,77,64,4.6,RE,1592680008
215,tura,10.57,72.64,302.15,76,100,7.42,IN,1592680008
216,tura,57.07,93.44,284.61,75,91,3.12,RU,1592679758
217,tura,40.49,68.78,295.82,26,0,2.67,UZ,1592679759
218,tura,36.62,-121.92,293.15,72,75,2.6,US,1592679759
219,tura,6.88,73.1,302.08,77,100,7.47,MV,1592679666
220,tura,39.6,-110.81,298.15,16,1,2.6,US,1592679759
221,tura,-2.32,-78.12,292.73,83,100,0.44,EC,1592679759
222,tura,15.88,108.33,300.15,78,20,1.0,VN,1592679612
223,tura,-34.73,135.87,286.1,72,75,9.24,AU,1592680010
224,tura,-35.33,-72.42,286.27,86,100,9.66,CL,1592680010
225,tura,50.72,136.63,280.38,91,21,1.12,RU,1592679760
226,tura,4.42,-7.35,298.92,78,100,3.04,CI,1592679760
227,tura,70.63,147.92,299.53,29,0,4.69,RU,1592679997
228,tura,46.43,26.4,289.82,90,100,1.18,RO,1592679760
229,tura,-33.42,149.58,281.48,93,100,2.11,AU,1592679676
230,tura,-33.04,-71.63,287.15,100,90,3.6,CL,1592679489
231,tura,68.82,-51.19,282.15,42,5,3.1,GL,1592680012
232,tura,65.28,-126.83,289.15,93,75,3.6,CA,1592679988
233,tura,-3.37,135.48,297.13,89,9,1.97,ID,1592679544
234,tura,49.58,111.98,284.11,82,100,2.14,RU,1592679761
235,tura,64.52,34.77,280.85,72,0,1.27,RU,1592679761
236,tura,20.7,-105.2,303.15,62,5,4.6,MX,1592680012
237,tura,45.88,0.9,294.82,56,16,2.1,FR,1592679762
238,tura,33.14,11.22,297.26,57,0,4.52,TN,1592679762
239,tura,62.67,135.6,286.58,94,9,1.54,RU,1592679762
240,tura,28.23,83.98,295.64,73,100,1.59,NP,1592679532
241,tura,-20.33,-40.29,301.15,65,20,4.1,BR,1592680013
242,tura,68.05,39.51,279.57,75,100,5.36,RU,1592679526
243,tura,27.18,31.18,304.15,33,0,6.2,EG,1592679762
244,tura,41.3,-96.17,299.15,57,75,1.68,US,1592679494
245,tura,50.68,156.12,278.69,92,100,7.45,RU,1592680014
246,tura,7.99,117.06,301.3,75,4,2.01,PH,1592679610
247,tura,-20.32,118.57,292.15,37,0,4.1,AU,1592679677
248,tura,37.72,20.83,300.15,54,0,7.44,GR,1592679635
249,tura,32.68,-115.5,307.15,28,1,2.12,US,1592679763
250,tura,-7.73,-79.3,295.61,60,9,5.77,PE,1592679764
251,tura,48.01,91.64,289.39,38,0,1.59,MN,1592680015
252,tura,-20.52,57.52,296.15,60,20,6.2,MU,1592680015
253,tura,29.59,-81.21,304.26,62,40,2.1,US,1592679631
254,tura,73.51,80.55,275.22,85,3,8.49,RU,1592680015
255,tura,65.58,-171.0,284.08,50,0,5.96,RU,1592680015
256,tura,-25.24,130.99,278.15,48,0,2.1,AU,1592680005
257,tura,-23.78,-45.36,299.08,60,0,1.83,BR,1592679569
258,tura,61.01,36.45,284.28,69,0,3.07,RU,1592679765
259,tura,64.57,143.2,293.05,48,0,1.38,RU,1592679765
260,tura,-19.06,-169.92,296.15,88,100,4.1,NU,1592679765
261,tura,4.43,14.37,294.8,93,100,0.36,CM,1592679765
262,tura,51.32,42.77,297.59,47,0,0.89,RU,1592679645
263,tura,-2.87,30.53,292.81,61,81,1.08,TZ,1592679766
264,tura,-12.23,136.77,297.24,70,0,6.15,AU,1592679766
265,tura,9.49,50.81,300.24,70,88,12.74,SO,1592679769
266,tura,39.05,-27.98,291.77,91,0,7.93,PT,1592679784
267,tura,0.53,72.93,302.11,73,100,3.77,MV,1592679769
268,tura,34.42,-79.37,304.26,58,40,3.1,US,1592679769
269,tura,61.35,16.39,289.47,55,7,1.7,SE,1592679770
